Title	Category		Filename	URL	Date Created	Date
Ep 148 - D&C 132 Pt. 1 the Text	History	https://nakedmormonismpodcast.com/episode-148-dc-132-pt-1-text/	Episode 148 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-148-dc-132-pt-1-the-text	Fri, 29 Mar 2019 05:09:37 +0000	3/29/2019 5:09:37
Ep 149 - D&C 132 Pt. 2 the ConText	History	https://nakedmormonismpodcast.com/episode-149-dc-132-pt-2-context/	Episode 149 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-149-dc-132-pt-2-the-context	Fri, 05 Apr 2019 04:30:19 +0000	4/5/2019 4:30:19
Ep 150 - Helen Mar Kimball	History	https://nakedmormonismpodcast.com/episode-150-helen-mar-kimball/	Episode 150 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-150-helen-mar-kimball	Fri, 12 Apr 2019 04:23:51 +0000	4/12/2019 4:23:51
Ep 151 - Going With the Opposed Votes	History	https://nakedmormonismpodcast.com/episode-151-going-opposed-votes/	Episode 151 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-151-going-with-the-opposed-votes	Fri, 19 Apr 2019 03:25:38 +0000	4/19/2019 3:25:38
Ep 152 - Hiding in Plain Sight; Accult	History	https://nakedmormonismpodcast.com/ep-152-hiding-plain-sight-accult/	Episode 152 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-152-hiding-in-plain-sight-accult	Fri, 26 Apr 2019 02:00:00 +0000	4/26/2019 2:00:00
Ep 153 - D. Michael Quinn pt.1	History	https://nakedmormonismpodcast.com/episode-153-d-michael-quinn-pt-1/	none	https://nakedmormonismpodcast.libsyn.com/ep-153-d-michael-quinn-pt1	Fri, 03 May 2019 02:00:00 +0000	5/3/2019 2:00:00
Ep 153.5 - D. Michael Quinn pt.2	History	https://nakedmormonismpodcast.com/episode-153-5-d-michael-quinn-pt-2/	none	https://nakedmormonismpodcast.libsyn.com/ep-1535-d-michael-quinn-pt2	Fri, 03 May 2019 02:00:00 +0000	5/3/2019 2:00:20
Ep 154 - Jane and Emma	History	https://nakedmormonismpodcast.com/7502-2/	Episode 154 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-154-jane-and-emma	Fri, 10 May 2019 03:00:00 +0000	5/10/2019 3:00:00
Ep 155 - Alexander Neibaur and Kabbalah	History	https://nakedmormonismpodcast.com/episode-155-alexander-neibaur-kabbalah/	Episode 155 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-155-alexander-neibaur-and-kabbalah	Fri, 17 May 2019 02:00:00 +0000	5/17/2019 2:00:00
Ep 156 - Hingepin Rigdon’s Pivotal Trial	History	https://nakedmormonismpodcast.com/episode-156-hingepin-rigdons-pivotal-trial/	Episode 156 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-156-hingepin-rigdons-pivotal-trial	Fri, 24 May 2019 06:46:11 +0000	5/24/2019 6:46:11
Ep 157 - Calling in Sick	History	https://nakedmormonismpodcast.com/episode-157-calling-sick/	none	https://nakedmormonismpodcast.libsyn.com/ep-157-calling-in-sick	Thu, 30 May 2019 18:03:06 +0000	5/30/2019 18:03:06
Ep 158 - The Very Walls Had Ears	History	https://nakedmormonismpodcast.com/episode-158-walls-ears/	Episode 158 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-158-the-very-walls-had-ears	Fri, 07 Jun 2019 03:00:00 +0000	6/7/2019 3:00:00
Ep 159 - Mormon-Native Relations 1830-1840 w/Christopher C. Smith Pt.1	History	https://nakedmormonismpodcast.com/episode-159-mormon-native-relations-1830-1840-wchristopher-c-smith-pt-1/	Episode 159 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-159-mormon-native-relations-1830-1840-wchristopher-c-smith-pt1	Thu, 13 Jun 2019 16:21:18 +0000	6/13/2019 16:21:18
